GRYD_ETO_ID,S6b_Other_Activities,S11a_Comments,A1_Description,A2_Description,A3_Description,O1_other_group_name,Group_name_part1,PUSH_1,PULL_1,text_all,Emotion
Newton 2-23-86-1,,Client was ran over,,,,No other group,No group,,,"Newton 2-23-86-1,Client was ran over,No other group,No group",fear
Northeast-20-25-2,,My boyfriend got arrested,,Softball,Boyfriend GRYD,Boyfriend,Homies,"The death of my cousin, because his own friend shot him",Growing up as helped,"Northeast-20-25-2,My boyfriend got arrested,Softball,Boyfriend GRYD,Boyfriend,Homies,The death of my cousin, because his own friend shot him,Growing up as helped",sadness
Newton 2-23-113-1,Church with grandmother,Bullying@school (Shers) elementary,GRYD church,Dance/cheer,,GRYD,No group,,,"Newton 2-23-113-1,Church with grandmother,Bullying@school (Shers) elementary,GRYD church,Dance/cheer,GRYD,No group",fear
BVCB-0-34-4,,Pregnancy,,,,No name,Group,No,Pregnancy,"BVCB-0-34-4,Pregnancy,No name,Group,No,Pregnancy",neutral
Northeast-20-35-2,"Church, job preparation","Letting go of someone that meant a lot to me; being shot at, using drugs",Church,GRYD,Church group,Church,Eggs,"Getting shot at, which brought me more enemies",Restoring my relationship with god has kept me from being involved,"Northeast-20-35-2,Church, job preparation,Letting go of someone that meant a lot to me; being shot at, using drugs,Church,GRYD,Church group,Church,Eggs,Getting shot at, which brought me more enemies,Restoring my relationship with god has kept me from being involved",sadness
Devonshire-Topanga-11-13-1,"GRYD, community En",Kicked out of school,School,Baseball,GRYD,GRYD,Homies,My dad's getting out of jail,Meeting people in GRYD,"Devonshire-Topanga-11-13-1,GRYD, community En,Kicked out of school,School,Baseball,GRYD,GRYD,Homies,My dad's getting out of jail,Meeting people in GRYD",joy
Hollenbeck 1-20-59-2,,"Yes with my dad does not have good communication, relationship.",,Folkrovico/dance group,Friends/family,Friends/family,No group,,,"Hollenbeck 1-20-59-2,Yes with my dad does not have good communication, relationship.,Folkrovico/dance group,Friends/family,Friends/family,No group",sadness
Newton 1-17-121-1,Volunteer at park,Going to court,School friends,,,No name,No group,,,"Newton 1-17-121-1,Volunteer at park,Going to court,School friends,No name,No group",neutral
Southwest 1-15-277-1,"Church, working out, basketball",Disagreement with mother,,,Other group,Other group,Group,Nothing,"Having my son, thinking about how important my future is. New opportunities","Southwest 1-15-277-1,Church, working out, basketball,Disagreement with mother,Other group,Other group,Group,Nothing,Having my son, thinking about how important my future is. New opportunities",anger
BVCB-0-129-2,Drawing,Dealing w/ consequences,,,,No other group,Group,Disloyal people,Getting married. Having Kids.,"BVCB-0-129-2,Drawing,Dealing w/ consequences,No other group,Group,Disloyal people,Getting married. Having Kids.",joy
Southwest 1-15-280-1,"Looking for jobs, applications.",Employment,,,,No other group,Group,"Things not the same. Everybody gone, moved away, in jail or dead.","My kids, my brother.","Southwest 1-15-280-1,Looking for jobs, applications.,Employment,No other group,Group,Things not the same. Everybody gone, moved away, in jail or dead.,My kids, my brother.",neutral
Newton 1-17-127-1,Aerobics with aunt,Upset with dad,School friends,Aerobics,Friends from old school,Friends of old school,No group,,,"Newton 1-17-127-1,Aerobics with aunt,Upset with dad,School friends,Aerobics,Friends from old school,Friends of old school,No group",sadness
Hollenbeck 1-20-69-2,,Death of boyfriend,School friends,Cheer,,School friends,Friends,Nothing,No,"Hollenbeck 1-20-69-2,Death of boyfriend,School friends,Cheer,School friends,Friends,Nothing,No",sadness
Hollenbeck 2-20-50-2,Works out,Not getting along with Aunt.,School friends,,,School friends,No group,,,"Hollenbeck 2-20-50-2,Works out,Not getting along with Aunt.,School friends,School friends,No group",sadness
Hollenbeck 2-20-73-2,Church,Losing daughter,Bf.,,,BF,No group,,,"Hollenbeck 2-20-73-2,Church,Losing daughter,Bf.,BF,No group",sadness
Hollenbeck 2-20-43-2,Plays soccer,Might have been a father,,Soccer Friends,,Soccer friends,No group,,,"Hollenbeck 2-20-43-2,Plays soccer,Might have been a father,Soccer Friends,Soccer friends,No group",neutral
Northeast-20-64-2,GRYD activities,Been shot,,,,No other group,Friends,Been shot,Seeing people get hurt,"Northeast-20-64-2,GRYD activities,Been shot,No other group,Friends,Been shot,Seeing people get hurt",fear
Hollenbeck 2-20-74-2,Urban Art Movement (UAM),Dad- heart attack,,,Normal Friends,Normal Friends,Homies,Friends going to jail,No,"Hollenbeck 2-20-74-2,Urban Art Movement (UAM),Dad- heart attack,Normal Friends,Normal Friends,Homies,Friends going to jail,No",fear
Southwest 2-23-10-1,Conservation Corps,Relationship problem DCFS,,,,No other group,Hoovers,"To [sic] much killing, enemies everywhere",DCSF has made me take things serious for my child,"Southwest 2-23-10-1,Conservation Corps,Relationship problem DCFS,No other group,Hoovers,To [sic] much killing, enemies everywhere,DCSF has made me take things serious for my child",sadness
77th 2-13-1309-1,Church,Childhood problems,Work friends,,,Work friends,No group,,,"77th 2-13-1309-1,Church,Childhood problems,Work friends,Work friends,No group",sadness
Harbor-21-155-1,Just GRYD,DCFS took kids,,,,No other group,Homies,Kids take by DCFS,Kids taken by DCFS,"Harbor-21-155-1,Just GRYD,DCFS took kids,No other group,Homies,Kids take by DCFS,Kids taken by DCFS",neutral
SSSEARE-0-72-1,"Dance, music, school",Life,School,Dance team/Mentoring squad,,Mentoring Squad,No name,"Yes, I'm changing in a positive way.",Me being locked up,"SSSEARE-0-72-1,Dance, music, school,Life,School,Dance team/Mentoring squad,Mentoring Squad,No name,Yes, I'm changing in a positive way.,Me being locked up",joy
SSSEARE-0-71-1,School,My dad passed away,,,,No other group,No name,When a close friend passed away,When I was locked up and I went to school new doors opened.,"SSSEARE-0-71-1,School,My dad passed away,No other group,No name,When a close friend passed away,When I was locked up and I went to school new doors opened.",sadness
BVCB-0-232-2,Works out,Guy pulled a gun on me at work.,,,Homies,Homies,,,,"BVCB-0-232-2,Works out,Guy pulled a gun on me at work.,Homies,Homies",fear
Devonshire-Topanga-11-60-2,,Step parent a new one,School friends,,outside friends,outside friends,No group,,,"Devonshire-Topanga-11-60-2,Step parent a new one,School friends,outside friends,outside friends,No group",joy
Southwest 1-15-264-1,"Planning, writing, reading, research, walking, interacting with people",Community violence/trauma,,Engaging men,Engaging men,Other,No group,,,"Southwest 1-15-264-1,Planning, writing, reading, research, walking, interacting with people,Community violence/trauma,Engaging men,Engaging men,Other,No group",fear
Rampart 1-12-480-2,Volunteer at Program,A rockey [sic] relationship,School friends,,The Program,The Program,Homies,Yes the homies getting locked up,No,"Rampart 1-12-480-2,Volunteer at Program,A rockey [sic] relationship,School friends,The Program,The Program,Homies,Yes the homies getting locked up,No",sadness
Rampart 1-12-480-2,Go to the park.,Home issues.,,,,No other group,Homies,"""Because the loss of a family member""","""Attending school on daily basis""","Rampart 1-12-480-2,Go to the park.,Home issues.,No other group,Homies,""Because the loss of a family member"",""Attending school on daily basis""",neutral
Rampart 1-12-474-1,,Yes getting locked up,,,,No other group,Homies,"Yes being in placement, on probation & school.",Yes probation,"Rampart 1-12-474-1,Yes getting locked up,No other group,Homies,Yes being in placement, on probation & school.,Yes probation",neutral
Olympic-12-12-2,,Lost a baby,Church,,,Church,Homies,"Yes, betrayal","Yes, my children","Olympic-12-12-2,Lost a baby,Church,Church,Homies,Yes, betrayal,Yes, my children",sadness
Rampart 1-12-231-2,"Fix car, security videos, being a parent",Not upsetting but stressful being a parent,Other friends,,,Other friends,Homies,Nothing,Well haing a kid and working,"Rampart 1-12-231-2,Fix car, security videos, being a parent,Not upsetting but stressful being a parent,Other friends,Other friends,Homies,Nothing,Well haing a kid and working",fear
77th 2-13-1316-1,Basketball,Fights,School,Basketball,,School,Homies,Yes I can't trust them being snitching talking behind back,"Yes playing basketball, finish school","77th 2-13-1316-1,Basketball,Fights,School,Basketball,School,Homies,Yes I can't trust them being snitching talking behind back,Yes playing basketball, finish school",anger
Rampart 1-12-406-2,,Brother making poor decisions,,Funk Freaks/Party Group,,No other group,Friends,Yes. Friends changing the way they are; Being fake,"Yes. Me wanting to better msyelf, and not being like them.","Rampart 1-12-406-2,Brother making poor decisions,Funk Freaks/Party Group,No other group,Friends,Yes. Friends changing the way they are; Being fake,Yes. Me wanting to better msyelf, and not being like them.",anger
BVCB-0-184-2,Working/work skills/experience,Friend got killed,,,,No other group,Group,Went to jail,Got a job,"BVCB-0-184-2,Working/work skills/experience,Friend got killed,No other group,Group,Went to jail,Got a job",sadness
BVCB-0-76-3,"School enrollment, independent house search, employment search",Mother passed,,,,No other group,Group,Yes. My mother passing away and my aunt wanting me to get away,Relationship with my girlfriend and her son working.,"BVCB-0-76-3,School enrollment, independent house search, employment search,Mother passed,No other group,Group,Yes. My mother passing away and my aunt wanting me to get away,Relationship with my girlfriend and her son working.",neutral
Hollenbeck 2-20-65-2,GRYD client seeing CM/CIW,Miscarriage,,,,No other group,No group,,,"Hollenbeck 2-20-65-2,GRYD client seeing CM/CIW,Miscarriage,No other group,No group",fear
77th 2-13-1290-2,,Crashed mother's car,Cool chruch friends,,,No other group,Homies,"Yeah, my cousin went to jail. He's not coming home any time soon. Plus they be tripping around the corner now. So I dont hang with them that much now.","No! I dont hang with them that much no more, they be tripping on me.","77th 2-13-1290-2,Crashed mother's car,Cool chruch friends,No other group,Homies,Yeah, my cousin went to jail. He's not coming home any time soon. Plus they be tripping around the corner now. So I dont hang with them that much now.,No! I dont hang with them that much no more, they be tripping on me.",fear
NHSEA-0-362-2,,Losing my privacy,,,,No other group,No group,,,"NHSEA-0-362-2,Losing my privacy,No other group,No group",fear
BVCB-0-215-3,Basketball,Cousin died,,,,No name,52nd St. Bloods,,,"BVCB-0-215-3,Basketball,Cousin died,No name,52nd St. Bloods",sadness
77th 1-16-63-1,,"My parents personal life ""marriage""",,,,No other group,Goodies,No,No,"77th 1-16-63-1,My parents personal life ""marriage"",No other group,Goodies,No,No",anger
Southwest 1-15-287-2,,God mom passed,Work,,,work,Group,Jail,Graduation,"Southwest 1-15-287-2,God mom passed,Work,work,Group,Jail,Graduation",joy
Southwest 1-15-281-2,,Conflict with son's father; homelessness; unemployment,,,,No other group,Group,My whole circle is in jail. I'm getting older & I want to do something with myself. I'm growing up.,No.,"Southwest 1-15-281-2,Conflict with son's father; homelessness; unemployment,No other group,Group,My whole circle is in jail. I'm getting older & I want to do something with myself. I'm growing up.,No.",fear
Olympic-12-58-1,,Fallecio mi abuela (My grand mother died),Amigos de escuela (School friends),,,Amigos de escuela (School friends),Homies,Los problemas (The problems),Mis consejos y estudios (My self advice and studies),"Olympic-12-58-1,Fallecio mi abuela (My grand mother died),Amigos de escuela (School friends),Amigos de escuela (School friends),Homies,Los problemas (The problems),Mis consejos y estudios (My self advice and studies)",sadness
